time,position1-,position2-,v_1,v_2
59.090078776116,74395689980.65703,128301424954.08846,-2226907518.4734683,1334130106.0811176
59.173421623473004,74210014744.66174,128412479760.02313,-2228788625.622303,1330880524.5576472
59.25676447083001,74024182933.10387,128523263627.79285,-2230664912.711453,1327628338.385106
59.34010731818701,73838194947.83453,128633776340.62234,-2232536376.280925,1324373554.9320328
59.42345016554402,73652051190.9842,128744017682.35448,-2234403012.8828297,1321116181.5705383
59.50679301290102,73465752064.96278,128853987437.45004,-2236264819.0813766,1317856225.6763058
59.59013586025802,73279297972.45952,128963685390.9879,-2238121791.452879,1314593694.6285896
59.673478707615025,73092689316.44304,129073111328.66492,-2239973926.5857496,1311328595.8102164
59.756821554972035,72905926500.16132,129182265036.79602,-2241821221.080504,1308060936.6075845
59.84016440232904,72719009927.14175,129291146302.3141,-2243663671.549758,1304790724.4106646
59.92350724968604,72531940001.19112,129399754912.77011,-2245501274.61823,1301517966.6129987
60.00685009704304,72344717126.39554,129508090656.33304,-2247334026.922739,1298242670.6117015
60.09019294440005,72157341707.12048,129616153321.78987,-2249161925.112206,1294964843.8074582
60.173535791757054,71969814148.01091,129723942698.54561,-2250984965.847653,1291684493.6045275
60.256878639114056,71782134853.99103,129831458576.6233,-2252803145.8022027,1288401627.4107392
60.34022148647106,71594304230.26451,129938700746.66402,-2254616461.6610813,1285116252.637495
60.42356433382807,71406322682.31435,130045668999.92685,-2256424910.121615,1281828376.699768
60.50690718118507,71218190615.90295,130152363128.28888,-2258228487.8932304,1278538007.016105
60.59025002854207,71029908437.0721,130258782924.24527,-2260027191.697458,1275245151.0086226
60.67359287589908,70841476552.1429,130364928180.90918,-2261821018.267928,1271949816.1030104
60.756935723256085,70652895367.71593,130470798692.01176,-2263609964.3503723,1268652009.72853
60.84027857061309,70464165290.67105,130576394251.90225,-2265394026.7026243,1265351739.3180141
60.92362141797009,70275286728.16757,130681714655.54785,-2267173202.0946193,1262049012.3078682
61.0069642653271,70086260087.64412,130786759698.53384,-2268947487.3083935,1258743836.138069
61.0903071126841,69897085776.81876,130891529177.06346,-2270716879.1380844,1255436218.2521658
61.173649960041104,69707764203.68886,130996022887.95804,-2272481374.389931,1252126166.097279
61.256992807398106,69518295776.53123,131100240628.65688,-2274240969.8822746,1248813687.1241014
61.340335654755116,69328680903.90202,131204182197.21733,-2275995662.4455566,1245498788.7868977
61.42367850211212,69138919994.56554,131307847392.33011,-2277745448.92216,1242181478.5422702
61.50702134946912,68949013456.82684,131411236013.44873,-2279490326.1622796,1238861763.842257
61.59036419682612,68758961699.9358,131514347860.474,-2281230291.0243797,1235539652.1635237
61.67370704418313,68568765133.63838,131617182733.87787,-2282965340.3790536,1232215150.9910078
61.757049891540134,68378424167.91873,131719740434.76245,-2284695471.109053,1228888267.812367
61.84039273889714,68187939212.99914,131822020764.86002,-2286420680.1092925,1225559010.1179757
61.92373558625414,67997310679.34003,131924023526.53291,-2288140964.286845,1222227385.4009273
62.00707843361115,67806538977.63998,132025748522.7737,-2289856320.5609455,1218893401.157033
62.09042128096815,67615624518.83577,132127195557.20497,-2291566745.8629875,1215557064.8848233
62.17376412832515,67424567714.10227,132228364434.07953,-2293272237.1365266,1212218384.0855465
62.25710697568216,67233368974.85253,132329254958.28029,-2294972791.337278,1208877366.2631688
62.340449823039165,67042028712.73777,132429866935.32027,-2296668405.433117,1205534018.9243762
62.42379267039617,66850547339.64734,132530200171.34264,-2298359076.4040804,1202188349.5785716
62.50713551775317,66658925267.70874,132630254473.12073,-2300044801.242364,1198840365.737877
62.59047836511018,66467162909.28761,132730029648.05795,-2301725576.952325,1195490074.917132
62.67382121246718,66275260676.987816,132829525504.1879,-2303401400.550481,1192137484.6338959
62.757164059824184,66083218983.6513,132928741850.17424,-2305072269.065509,1188782602.4084454
62.84050690718119,65891038242.35817,133027678495.31084,-2306738179.538247,1185425435.7637756
62.923849754538196,65698718866.4267,133126335249.52165,-2308399129.021694,1182065992.2255995
63.0071926018952,65506261269.41333,133224711923.36075,-2310055114.581009,1178704279.3223503
63.0905354492522,65313665865.11264,133322808328.01239,-2311706133.2935104,1175340304.5851774
63.1738782966092,65120933067.55734,133420624275.29094,-2313352182.248678,1171974075.54795
63.25722114396621,64928063291.018326,133518159577.64087,-2314993258.548153,1168605599.7472544
63.340563991323215,64735056950.00465,133615414048.13681,-2316629359.3057337,1165234884.722397
63.42390683868022,64541914459.26348,133712387500.48352,-2318260481.6473823,1161861938.015401
63.50724968603722,64348636233.780174,133809079749.01588,-2319886622.71122,1158486767.1710083
63.59059253339423,64155222688.7782,133905490608.69894,-2321507779.6475277,1155109379.7366796
63.67393538075123,63961674239.719246,134001619895.12784,-2323123949.6187477,1151729783.262594
63.757278228108234,63767991302.30309,134097467424.52783,-2324735129.799482,1148347985.3016486
63.840621075465236,63574174292.4677,134193033013.75438,-2326341317.376494,1144963993.4094586
63.923963922822246,63380223626.38915,134288316480.29303,-2327942509.548706,1141577815.144358
64.00730677017924,63186139720.481766,134383317642.25941,-2329538703.527202,1138189458.0673997
64.09064961753626,62991922991.397865,134478036318.39943,-2331129896.5352263,1134798929.742353
64.17399246489326,62797573856.02811,134572472328.08894,-2332716085.8081822,1131406237.7357082
64.25733531225026,62603092731.50116,134666625491.33406,-2334297268.593635,1128011389.6166723
64.34067815960726,62408480035.183914,134760495628.77101,-2335873442.15131,1124614392.9571707
64.42402100696427,62213736184.68139,134854082561.6661,-2337444603.753092,1121215255.3318477
64.50736385432127,62018861597.836754,134947386111.91585,-2339010750.6830273,1117813984.3180656
64.59070670167827,61823856692.73135,135040406102.04683,-2340571880.237322,1114410587.4959054
64.67404954903529,61628721887.68462,135133142355.2158,-2342127989.724343,1111005072.4481654
64.75739239639229,61433457601.25427,135225594695.20963,-2343679076.4646163,1107597446.7603643
64.8407352437493,61238064252.18523,135317762946.45268,-2345225137.790641,1104187718.0199044
64.9240780911063,61042542258.76819,135409646934.08725,-2346766171.042386,1100775893.809846
65.0074209384633,60846892040.1106,135501246483.7735,-2348302173.569462,1097361981.7349904
65.0907637858203,60651114015.79421,135592561421.76668,-2349833142.7340565,1093945989.4077973
65.1741066331773,60455208605.59833,135683591574.9612,-2351359075.910514,1090527924.4426253
65.2574494805343,60259176229.499855,135774336770.89062,-2352879970.4853315,1087107794.455732
