# t,q1,q2,p1,p2,H
3.467244540756792559e-01,1.018253745473062910e+00,1.507163587441551433e+00,-6.524938225400819469e+00,-3.462486784720490540e+00,2.942999999999971195e+01
3.500583430571762023e-01,1.008761796070517525e+00,1.503924329386916225e+00,-6.576094664418486779e+00,-3.499479829003376619e+00,2.942999999999830507e+01
3.533922320386730931e-01,9.992324744527023572e-01,1.500566181283936373e+00,-6.626689408972119111e+00,-3.536695826489507422e+00,2.942999999999916128e+01
3.567261210201699839e-01,9.896674135187695232e-01,1.497086800961900499e+00,-6.676709253597962856e+00,-3.574141051057527108e+00,2.943000000000319005e+01
3.600600100016669303e-01,9.800682575727127643e-01,1.493483863341125373e+00,-6.726141117534128355e+00,-3.611821638505697596e+00,2.943000000000381178e+01
3.633938989831638211e-01,9.704366626652974892e-01,1.489755061655550161e+00,-6.774972067710486989e+00,-3.649743565913089238e+00,2.943000000000014182e+01
3.667277879646607675e-01,9.607742969749004658e-01,1.485898108625801850e+00,-6.823189342067111696e+00,-3.687912630635125311e+00,2.942999999999873495e+01
3.700616769461576583e-01,9.510828412240659446e-01,1.481910737583713944e+00,-6.870780373166433641e+00,-3.726334428966595169e+00,2.942999999999881311e+01
3.733955659276546046e-01,9.413639891293489326e-01,1.477790703549706208e+00,-6.917732812074369519e+00,-3.765014334499650062e+00,2.942999999999533145e+01
3.767294549091514955e-01,9.316194478806445467e-01,1.473535784264337734e+00,-6.964034552473994388e+00,-3.803957476211218491e+00,2.942999999998897565e+01
3.800633438906484418e-01,9.218509386463753508e-01,1.469143781174994112e+00,-7.009673754973344550e+00,-3.843168716315401134e+00,2.942999999998841076e+01
3.833972328721453326e-01,9.120601971011507159e-01,1.464612520378467897e+00,-7.054638871571609293e+00,-3.882652627915500254e+00,2.943000000000011340e+01
3.867311218536422790e-01,9.022489739724799396e-01,1.459939853520700659e+00,-7.098918670252081675e+00,-3.922413472488055497e+00,2.943000000001726946e+01
3.900650108351391698e-01,8.924190356031321825e-01,1.455123658654961627e+00,-7.142502259670186149e+00,-3.962455177231213987e+00,2.943000000002032834e+01
3.933988998166360607e-01,8.825721645257268433e-01,1.450161841059726564e+00,-7.185379113904938109e+00,-4.002781312309806161e+00,2.943000000000314742e+01
3.967327887981330070e-01,8.727101600447783047e-01,1.445052334017622675e+00,-7.227539097230788911e+00,-4.043395068036967466e+00,2.943000000000107264e+01
4.000666777796298978e-01,8.628348388187385698e-01,1.439793099555736866e+00,-7.268972488836347168e+00,-4.084299232053098194e+00,2.942999999999987182e+01
4.034005667611268442e-01,8.529480354473566450e-01,1.434382129147980800e+00,-7.309670007533935809e+00,-4.125496166485899785e+00,2.943000000000180805e+01
4.067344557426237350e-01,8.430516030526031823e-01,1.428817444380374058e+00,-7.349622836349153587e+00,-4.166987785177343362e+00,2.943000000000664329e+01
4.100683447241206814e-01,8.331474138517028782e-01,1.423097097580674930e+00,-7.388822646979417819e+00,-4.208775530997797887e+00,2.943000000000675342e+01
4.134022337056175722e-01,8.232373597177107261e-01,1.417219172413638262e+00,-7.427261624079946500e+00,-4.250860353288247850e+00,2.942999999999683070e+01
4.167361226871145186e-01,8.133233527240452121e-01,1.411181784441446041e+00,-7.464932489329973109e+00,-4.293242685476055698e+00,2.942999999998325222e+01
4.200700116686114094e-01,8.034073256694947984e-01,1.404983081648828236e+00,-7.501828525232521194e+00,-4.335922422909304075e+00,2.942999999998249550e+01
4.234039006501083557e-01,7.934912325802004895e-01,1.398621244932379604e+00,-7.537943598601088091e+00,-4.378898900954835582e+00,2.942999999999928207e+01
