q,p,q_dot,p_dot,total_energy
1.6667735546050704,-0.7879122654672106,-7.879122654672106,-7.648735546050704,6.962068413039338
1.6468351167275366,-0.8068113432754066,-8.068113432754066,-7.449351167275365,6.962246308858673
1.6264317732567095,-0.8252099252322542,-8.252099252322541,-7.245317732567095,6.962470505801672
1.6055764381482118,-0.8430952304642749,-8.430952304642748,-7.036764381482119,6.962732436182815
1.5842822188299208,-0.8604549383593332,-8.604549383593332,-6.823822188299208,6.963022917611049
1.5625624162019691,-0.8772771885666364,-8.772771885666364,-6.606624162019691,6.9633324188060275
1.540430524636745,-0.893550580996735,-8.93550580996735,-6.385305246367449,6.963651308462397
1.5179002319788908,-0.9092641758215225,-9.092641758215224,-6.160002319788908,6.9639700861522
1.4949854195453058,-0.9244074934742356,-9.244074934742356,-5.930854195453058,6.964279594342751
1.4717001621251433,-0.9389705146494536,-9.389705146494535,-5.698001621251433,6.964571210694496
1.448058727979812,-0.952943680303099,-9.52943680303099,-5.46158727979812,6.964837019890705
1.4240755788429766,-0.9663178916524373,-9.663178916524373,-5.221755788429766,6.9650699643380465
1.399765369920556,-0.9790845101760774,-9.790845101760773,-4.978653699205559,6.965263973164308
1.3751429498907248,-0.9912353576139707,-9.912353576139706,-4.732429498907249,6.965414069026857
1.350223360903913,-1.0027627159674117,-10.027627159674116,-4.48323360903913,6.965516452332601
1.3250218385828054,-1.013659327499038,-10.136593274990378,-4.231218385828054,6.965568562557479
1.2995538120223429,-1.0239183947328305,-10.239183947328305,-3.976538120223429,6.965569116440786
1.2738349037897205,-1.0335335804541126,-10.335335804541126,-3.7193490378972056,6.965518122916832
1.2478809299243891,-1.0424990077095508,-10.424990077095508,-3.459809299243892,6.965416874733716
1.221707899938055,-1.0508092598071552,-10.508092598071551,-3.1980789993805505,6.965267916796252
1.1953320168146795,-1.0584593803162783,-10.584593803162782,-2.9343201681467947,6.965074991357251
1.168769677010479,-1.0654448730676156,-10.654448730676155,-2.6686967701047895,6.964842960268725
1.142037470453925,-1.0717617021532062,-10.717617021532062,-2.401374704539249,6.964577704591738
1.115152180545745,-1.0774062919264313,-10.774062919264313,-2.1325218054574497,6.964286001950888
1.088130784158921,-1.0823755270020163,-10.823755270020163,-1.8623078415892096,6.963975382106695
1.06099045163869,-1.0866667522560285,-10.866667522560284,-1.5909045163869011,6.963653961306336
1.0337485468025456,-1.0902777728258788,-10.902777728258787,-1.3184854680254559,6.963330256060508
1.0064226269402354,-1.0932068541103213,-10.932068541103211,-1.0452262694023544,6.963012977081363
0.9790304428137625,-1.0954527217694523,-10.954527217694523,-0.7713044281376251,6.96271080420374
0.9515899386573855,-1.0970145617247118,-10.970145617247118,-0.49689938657385513,6.962432143199181
0.9241192521776177,-1.0978920201588829,-10.978920201588828,-0.2221925217761771,6.9621848654794265
0.8966367145532286,-1.098085203516091,-10.98085203516091,0.05263285446771415,6.961976031773347
0.8691608504352418,-1.0975946785018054,-10.975946785018053,0.32739149564758163,6.961811600948526
0.8417103779469373,-1.0964214720828378,-10.964214720828377,0.6018962205306273,6.961696125235938
